floor,A_nbb_ind,B_nbb_ind,C_nbb_ind,D_nbb_ind,E_nbb_ind,H_nbb_ind,I_nbb_ind,J_nbb_ind,M_nbb_ind,N_nbb_ind,P_nbb_ind,Q_nbb_ind,T_nbb_ind,W_nbb_ind,X_nbb_ind,Z_nbb_ind,A_nbo_ind,B_nbo_ind,C_nbo_ind,D_nbo_ind,E_nbo_ind,H_nbo_ind,I_nbo_ind,J_nbo_ind,M_nbo_ind,N_nbo_ind,P_nbo_ind,Q_nbo_ind,T_nbo_ind,W_nbo_ind,X_nbo_ind,Z_nbo_ind
1970-01-01T09:30:00.000000,0.12704545,0.23313173333333334,0.28467333333333333,0.39014778333333333,0.39327826666666665,0.418102,0.34623536666666666,0.14402926666666666,0.5282266666666666,0.5715266833333333,0.5801891666666666,0.5690900666666666,0.5999526333333334,0.23711243333333334,0.3784471833333333,0.5063412333333334,0.33438426666666665,0.5471900333333334,0.13415333333333335,0.07821658333333334,0.20383653333333332,0.06339163333333334,0.07691045,0.08623938333333334,0.5235921333333333,0.7465030833333334,0.639876,0.6655448166666666,0.7088466333333333,0.09320571666666666,0.12281783333333333,0.6507661166666666
1970-01-01T09:31:00.000000,0.0729533,0.32577325,0.2084515,0.43629225,0.4551094666666667,0.34421083333333335,0.33894063333333335,0.2563993666666667,0.42727935,0.6224951,0.5388045333333333,0.65853215,0.5875139333333333,0.12160498333333333,0.31212791666666667,0.5531903333333333,0.3536501166666667,0.5189664333333334,0.13536083333333335,0.04449305,0.20595665,0.009720816666666666,0.05592246666666666,0.03477105,0.5296330333333333,0.7306904166666667,0.6592281333333333,0.7429526,0.70539635,0.024674383333333334,0.09903251666666667,0.69368565
1970-01-01T09:32:00.000000,0.11893116666666667,0.527665,0.2784639,0.3774853,0.368525,0.38912941666666667,0.3030127,0.20621715,0.54400915,0.6061817,0.55781405,0.51863835,0.5117867833333334,0.17326503333333335,0.2909793,0.55569415,0.07569516666666666,0.46002398333333333,0.028082583333333334,0.12674951666666667,0.1715965,0.0013346166666666666,0.00721735,0.23079021666666666,0.29946771666666666,0.6509746333333334,0.6773398833333333,0.7179867,0.6153088666666666,0.010329016666666666,0.022782966666666668,0.6961838333333333
1970-01-01T09:33:00.000000,0.12449535,0.5369570833333334,0.24338316666666668,0.4087847666666667,0.36702633333333334,0.39871885,0.3634556333333333,0.07002318333333334,0.6206642,0.7444601166666667,0.6883650833333333,0.6189243,0.5883722333333333,0.20067305,0.3620773,0.63217725,0.14373273333333333,0.4248361666666667,0.10194875,0.09136595,0.22922235,0.05924318333333333,0.06821413333333333,0.1164646,0.22069276666666668,0.7657011833333334,0.6384655333333333,0.66504755,0.6337232166666666,0.056252333333333335,0.09234231666666666,0.69304225
1970-01-01T09:34:00.000000,0.011000816666666666,0.30353263333333336,0.10506548333333333,0.24838591666666668,0.2681971,0.15903235,0.1057539,0.13562803333333334,0.3791367333333333,0.6183676,0.5972032,0.5595600166666667,0.5297667333333334,0.09005823333333333,0.10954038333333334,0.6174539666666666,0.14648631666666667,0.3182744,0.24068386666666666,0.34415575,0.30945125,0.2908516,0.28490773333333336,0.09325963333333333,0.37024386666666664,0.7153376833333334,0.58437475,0.6273020333333333,0.5028211666666667,0.27914721666666664,0.24590435,0.59859575
1970-01-01T09:35:00.000000,0.05692813333333333,0.4913516666666667,0.08032431666666667,0.22866851666666665,0.22780661666666666,0.16042886666666667,0.16750328333333334,0.09346385,0.5784170333333334,0.7211015333333334,0.6512517,0.6595169833333333,0.61131795,0.09340043333333334,0.16129083333333333,0.6368398333333334,0.13748218333333334,0.2076438,0.17207241666666667,0.35356763333333335,0.34179061666666666,0.4081103833333333,0.32065723333333335,0.08172111666666666,0.3681011,0.6762026166666667,0.6495532833333333,0.59372795,0.5087046833333333,0.25971821666666667,0.31292555,0.5507154833333333
1970-01-01T09:36:00.000000,0.23153575,0.3067822666666667,0.17958126666666666,0.2623471666666667,0.26498605,0.1426749,0.2075659,0.1264339,0.38394528333333333,0.5027747166666666,0.43338471666666667,0.6366031,0.3674713,0.18121983333333333,0.23781135,0.5022735833333334,0.34760931666666667,0.37431326666666664,0.18713463333333333,0.20898003333333334,0.30569935,0.0929276,0.10477498333333334,0.20372851666666666,0.335897,0.7473025833333333,0.5778039,0.6078934166666666,0.5450429166666667,0.08836358333333333,0.13579686666666665,0.6019418333333333
1970-01-01T09:37:00.000000,0.19609183333333333,0.3532263666666667,0.15055003333333333,0.11913641666666666,0.20296665,0.0018584166666666666,0.11803335,0.09750696666666667,0.4966543666666667,0.67468535,0.58090775,0.5770287333333334,0.55805455,0.09642798333333333,0.14346305,0.6306840833333334,0.3189863333333333,0.5910798833333333,0.34628711666666667,0.4189196666666667,0.44340515,0.040792166666666664,0.2244349,0.38438381666666666,0.5569417,0.7354037666666666,0.6182170166666666,0.6087425,0.5783675666666667,0.13707926666666667,0.25780221666666664,0.6871031166666667
1970-01-01T09:38:00.000000,0.15457085,0.2946067666666667,0.16021925,0.24441595,0.32505425,0.01783055,0.2781204666666667,0.14523745,0.33631818333333335,0.6397597666666667,0.4436989333333333,0.5004001833333334,0.430301,0.08485923333333334,0.19392676666666667,0.5264541833333334,0.2709627,0.4531117,0.2195988,0.33274336666666665,0.35931765,0.005731033333333333,0.16301741666666666,0.2011471,0.4501065833333333,0.7346302,0.60887285,0.59398515,0.5630459833333333,0.08127048333333334,0.16032705,0.6667254333333333
1970-01-01T09:39:00.000000,0.24856705,0.5217417333333333,0.26701858333333334,0.3656118,0.38557163333333333,0.008096766666666666,0.24947255,0.2393757,0.5742977666666667,0.5991196,0.5700668333333333,0.5952672333333333,0.49913165,0.1426083,0.20744098333333333,0.6828744166666667,0.4812754,0.6365244333333333,0.33474265,0.45394971666666667,0.4092848666666667,0.0425497,0.24264995,0.3640053833333333,0.6457915666666667,0.7395354666666667,0.6263383,0.6280039,0.6224759833333333,0.15333985,0.21233236666666666,0.7698888333333334
